Width,Height,ColorDepth,RefreshRate,Status,Message,StartTime,EndTime,DurationSec
1920,1080,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:30.503993,2026-04-15 14:03:32.509768,2.005775
640,480,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:32.511238,2026-04-15 14:03:34.612684,2.101446
800,600,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:34.614874,2026-04-15 14:03:36.717776,2.102902
1024,768,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:36.720474,2026-04-15 14:03:38.808785,2.088311
1152,864,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:38.811200,2026-04-15 14:03:40.912633,2.101433
1280,600,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:40.914642,2026-04-15 14:03:43.027333,2.112691
1280,720,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:43.029398,2026-04-15 14:03:45.113611,2.084213
1280,768,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:45.115772,2026-04-15 14:03:47.188243,2.072471
1280,800,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:47.189985,2026-04-15 14:03:49.280683,2.090698
1280,960,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:49.283420,2026-04-15 14:03:51.426448,2.143028
1280,1024,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:51.428999,2026-04-15 14:03:53.514175,2.085176
1360,768,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:53.516275,2026-04-15 14:03:55.626036,2.109761
1366,768,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:55.629613,2026-04-15 14:03:57.739121,2.109508
1400,1050,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:57.741114,2026-04-15 14:03:59.896350,2.155236
1440,900,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:03:59.898920,2026-04-15 14:04:02.051686,2.152766
1600,900,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:04:02.054657,2026-04-15 14:04:04.122765,2.068108
1680,1050,32,60,PASS,Applied successfully (attempt 1),2026-04-15 14:04:04.125154,2026-04-15 14:04:06.206430,2.081276
